2. 5.	Atanas, Zikund, Atanáš
3. 5.	Alexej, Horác, Alexa, Alexie
4. 5.	Forian, Květoslav, Květoň, Silvan, Silvius, Florián
5. 5.	Klaudie, Klaudius
6. 5.	Radislav, Radoslav, Frída, Radivoj, Radslava
7. 5.	Stanislav, Stojan, Stanimír
8. 5.	Aurel, Zlatan, Zlatko, Zlatomír
9. 5.	Ctibor
10. 5.	Blažena, Erazim, Erazmus, Jason, Gordon
11. 5.	Svatava, Svatoslava, Svatomíra
12. 5.	Pankrác, Všebor, Vsevolod
13. 5.	Servác, Ofélie
14. 5.	Aglaja, Bonifác, Dina
15. 5.	Harald, Raisa, Sofie, Žofie, Rajsa
16. 5.	Přemek, Přemysl, Přemyslav
17. 5.	Aneta, Dětmar, Paskal
18. 5.	Nataša, Timea
19. 5.	Alvin, Gerda, Ivo, Celestýn
20. 5.	Zbyšek, Hvězdoslava
21. 5.	Mona, Monika, Hostimil, Hostislav, Konstantýn
22. 5.	Emil, Rita, Emilián
23. 5.	Vladimir, Vladimíra, Želmíra, Želimir, Žeilimíra, Vladimír
24. 5.	Jana, Vanesa
25. 5.	Viola, Violeta, Urban
26. 5.	Filip, Filipa, Filipína
27. 5.	Vadim, Valderar, Waldemar, Svatoboj, Vojslav
28. 5.	Viliam, Vilibald, Viém
29. 5.	Maxim, Maxmilian, Max, Maxima, Maximilián, Maxmilián
30. 5.	Ferdinand, Ferdinanda, Elmar
31. 5.	Kamila, Petronila, Nila
1. 6.	Horensie, Hortenzie, Laura, Laurencie, Loreta, Lorna, Lora
2. 6.	Jarmil, Jaromil
3. 6.	Kevin, Lešek, Tamara, Palmira, Palmiro
4. 6.	Dalibor, Fatima, Dalibora, Tara
5. 6.	Dobroslava, Dobroslav, Dobromír, Dobruše
6. 6.	Norbert, Norman, Norberta
7. 6.	Ariadna, Iveta, Slavoj, Slavibor
8. 6.	Medard, Pěva
9. 6.	Anabela, Stanislava
10. 6.	Gita, Margita, Gréta
11. 6.	Barnabáš, Brunhilda, Bruno, Florentina, Florentin, Florentýna, Mabel
12. 6.	Antonie, Táňa
13. 6.	Antal, Antonín, Gendaij
14. 6.	Herta, Roland, Basil, Elizej, Rolanda
15. 6.	Senta, Vit, Vítek, Izolda, Vít, Víta
16. 6.	Zbynhěv, Zbyněk, Zbyňka
17. 6.	Ada, Adina, Adolfa, Adolfian, Adolf, Alida, Adin, Adolfína
18. 6.	Milana, Milan, Milík, Milovan, Sedrik, Milíč
19. 6.	Leonardo, Leonhard, Leo, Leo, Leoš, Lev, Ruslav, Leontýn
20. 6.	Květa, Květuše, Flora, Květa
21. 6.	Aloisie, Alois, Leila, Lejla
22. 6.	Arabela, Pavla, Zaira
23. 6.	Sidonie, Zdena, Zdenka, Zeno, Zdeňka
24. 6.	Dejan, Jan, Jonatan
25. 6.	Ivan, Salome, Fabrizio
26. 6.	Adriana, Adrian
27. 6.	Ladislava, Ladislav
28. 6.	Lubomíra, Lubomil, Lubomír, Serena, Beatus
29. 6.	Pavel, Petr, Salomea, Salomena, Esmeralda
30. 6.	Vlastimír, Šárka, Teobald, Theobald, Vlastimíra
1. 7.	Halina, Jaroslava, Vesna
2. 7.	Alma, Patricie
3. 7.	Anatol, Radomíra, Radomír, Anatolie, Radimíra
4. 7.	Prokop, Ulrich
5. 7.	Cyrila, Cyril, Metoděj, Metod
6. 7.	Spytihněv
7. 7.	Hostivít
8. 7.	Edgar, Kilián, Nora
9. 7.	Drahoslava, Drahuše
10. 7.	Amalie, Libuše, Ludoslava, Amálie, Amélie, Ludoslav
11. 7.	Helga, Olga, Pius
12. 7.	Borek, Borislav, Bořek
13. 7.	Margareta, Margit, Marketa, Perla, Markéta, Megan
14. 7.	Karolian, Larisa, Karolína
15. 7.	Egon, Jindřich
16. 7.	Carmen, Luboš, Rut, Cedrik
